variable name,data type,register,documented name,unit,values,writable,note,,,,
,1bit,179.b10,uFunctionEn2_ubBatDischgControl,,0~1,W,1,,,,
,1bit,179.b11,uFunctionEn2_ubACcou pling,,0~1,W,1,,,,
,1bit,179.b12,uFunctionEn2_ubPVArcEn,,0~1,W,1,,,,
,1bit,179.b13,uFunctionEn2_ ubSmartLoadEn,,0~1,W,1,,,,
,1bit,179.b14,uFunctionEn2_ubRSDDisable,,0~1,W,1,,,,
,1bit,179.b15,uFunctionEn2_OnGridAlwaysOn,,0~1,W,1,,,,
,,180,AFCIArcThreshold,,,W,,,,,
,,181,VoltWatt_V1,0.1V,,W,1.05Vn-1.09Vn,,,,
,,182,VoltWatt_V2,0.1V,,W,(V1+0.01Vn)-1.10Vn,,,,
,,183,VoltWatt_DelayTime,ms,500-60000,W,Default 10000ms,,,,
,,184,VoltWatt_P2,%,0-200,W,,,,,
,,185,Vref_QV,0.1V,,W,,,,,
,,186,Vref_filtertime,s,300-5000,W,,,,,
,,187,Q3_QV,%,,W,,,,,
,,188,Q4_QV,%,,W,,,,,
,,189,P1_QP,%,,W,,,,,
,,190,P2_QP,%,,W,,,,,
,,191,P3_QP,%,,W,,,,,
,,192,P4_QP,%,,W,,,,,
,,193,UVFIncreaseRatio,%Pm/Hz,1-100,W,Underfrequency load ramp rate,,,,
,,194,GenChgStartVolt,0.1V,384-520,W,Intitial voltage for generator charging the battery  which will be valid after selecting GenChg according to voltage.,,,,
,,195,GenChgEndVolt,0.1V,480-590,W,Battery voltage at the end of generator charging  which will be valid after selecting GenChg according to voltage.,,,,
,,196,GenChgStartSOC,%,0-90,W,SOC for generator charging the battery  which will be valid after selecting GenChg according to SOC,,,,
,,197,GenChgEndSOC,%,20-100,W,SOC at the end of generator charging  which will be valid after selecting GenChg according to SOC,,,,
,,198,MaxGenChgBatCurr,A,0-60,W,Charge current from generator,,,,
,,199,OverTempDeratePoint,0.1C,600-900,W,Overtemperature load reduction point,,,,
,,201,ChgFirstEndVolt,0.1V,480-590,W,Charging priority voltage limit,,,,
,,202,ForceDichgEndVolt,0.1V,400-560,W,Forced discharge voltage limit,,,,
,,203,GridRegulation,,,W,"Grid regulation settings - documentation unclear, this might be bitflags",,,,
,,204,LeadCapacity,Ah,50-850,W,,,,,
,,205,GridType,,"{""0"": ""Split240V"", ""1"": ""Split208V"", ""2"": ""Single240V"", ""3"": ""Single230V"", ""4"": ""Split200V""}",W,0-Split240V 1-Split208V 2-Single240V 3-Single230V 4-Split200V,,,,
,,206,GridPeakShavingPower,0.1kw,0-255,W,,,,,
,,207,GridPeakShavingSOC,%,0-100,W,,,,,
,,208,GridPeakShavingVolt,0.1V,480-590,W,,,,,
,8bit,209,PeakShavingStartHour,hour,0-23,W,PeakShaving start time_Hour setting,,,,
,8bit,209.b8,PeakShavingStartMinute,min,0-59,W,PeakShaving start time_minutes setting,,,,
,8bit,210,PeakShavingEndHour,hour,0-23,W,PeakShaving end time_hours setting,,,,
,8bit,210.b8,PeakShavingEndMinute,min,0-59,W,PeakShaving end time_minutes setting,,,,
,8bit,211,PeakShavingStartHour1,hour,0-23,W,PeakShaving sttart ime_hours setting,,,,
,8bit,211.b8,PeakShavingStartMinute1,min,0-59,W,PeakShaving start time_minutes setting,,,,
,8bit,212,PeakShavingEndHour1,hour,0-23,W,PeakShaving end time_ hours setting,,,,
,8bit,212.b8,PeakShavingEndMinute1,min,0-59,W,PeakShaving end time_minutes setting,,,,
,,213,SmartLoadOnVolt,0.1V,480-590,W,,,,,
,,214,SmartLoadOffVolt,0.1V,400-520,W,,,,,
,,215,SmartLoadOnSOC,%,0-100,W,,,,,
,,216,SmartLoadOffSOC,%,0-100,W,,,,,
,,217,StartPVpower,0.1kW,0-120,W,,,,,
,,218,GridPeakShavingSOC1,%,0-100,W,,,,,
,,219,GridPeakShavingVolt1,0.1V,480-590,W,,,,,
,,220,ACCoupleStartSOC,%,0-80,W,,,,,
,,221,ACCoupleEndSOC,%,0-100,W,,,,,
,,222,ACCoupleStartVolt,0.1V,400-520,W,,,,,
,,223,ACCoupleEndVolt,0.1V,400-560,W,,,,,
,8bit,224,LCDVersion,,0-255,W,,,,,
,2bit,224.b8,LCDScreenType,,"{""0"": ""big screen"", ""1"": ""small screen"", ""2"": ""unknown"", ""3"": ""unknown"", ""4"": ""unknown"", ""5"": ""unknown"", ""6"": ""unknown"", ""7"": ""unknown""}",W,"0~7, 0 - big screen 1 - small screen",,,,
,6bit,224.b10,LCDMachineModelCode,,"{""0"": ""12K"", ""01"": ""All-in-one"", ""02"": ""Three phase inverter""}",W,"0~31, 00:12K 01: All-in-one 02: Three phase inverter",,,,
,2bit,226,Resvd,,0,WD,,,,,
,1bit,226.b2,Function3_ExCtEn,,0~1,W,1,,,,
,1bit,226.b3,Function3_RunwithoutGrid,,0~1,W,1,,,,
,1bit,226.b4,Function3_NPeRlyEn,,0~1,W,1,,,,
