variable name,data type,register,documented name,description,writable,values,unit,note
,uint16,140,vebus/Devices/10/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 11,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,141,vebus/Devices/11/Settings/PowerAssistEnabled,com.victronenergy.vebus-PowerAssist enabled unit 12,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,142,vebus/Devices/0/Settings/UpsFunction,com.victronenergy.vebus-UPS function L1,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,143,vebus/Devices/1/Settings/UpsFunction,com.victronenergy.vebus-UPS function L2,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,144,vebus/Devices/2/Settings/UpsFunction,com.victronenergy.vebus-UPS function L3,yes,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,int16,258,battery/Dc/0/Power,com.victronenergy.battery-Battery power,no,-32768 to 32767,1W,
,uint16,259,battery/Dc/0/Voltage,com.victronenergy.battery-Battery voltage,no,0 to 655.35,100V DC,
,uint16,260,battery/Dc/1/Voltage,com.victronenergy.battery-Starter battery voltage,no,0 to 655.35,100V DC,
,int16,261,battery/Dc/0/Current,com.victronenergy.battery-Current,no,-3276.8 to 3276.7,10A DC,Postive: battery begin charged. Negative: battery being discharged
,int16,262,battery/Dc/0/Temperature,com.victronenergy.battery-Battery temperature,no,-3276.8 to 3276.7,10Degrees celsius,In degrees Celsius
,uint16,263,battery/Dc/0/MidVoltage,com.victronenergy.battery-Mid-point voltage of the battery bank,no,0 to 655.35,100V DC,
,uint16,264,battery/Dc/0/MidVoltageDeviation,com.victronenergy.battery-Mid-point deviation of the battery bank,no,0 to 655.35,100%,
,uint16,265,battery/ConsumedAmphours,com.victronenergy.battery-Consumed Amphours,no,0 to -6553.6,-10Ah,Always negative (to have the same sign as the current).
,uint16,266,battery/Soc,com.victronenergy.battery-State of charge,no,0 to 6553.6,10%,
,uint16,267,battery/Alarms/Alarm,com.victronenergy.battery-Alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,2015-01-19: Deprecated for CCGX. Value is always 0.
,uint16,268,battery/Alarms/LowVoltage,com.victronenergy.battery-Low voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,269,battery/Alarms/HighVoltage,com.victronenergy.battery-High voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,270,battery/Alarms/LowStarterVoltage,com.victronenergy.battery-Low starter-voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,271,battery/Alarms/HighStarterVoltage,com.victronenergy.battery-High starter-voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,272,battery/Alarms/LowSoc,com.victronenergy.battery-Low State-of-charge alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,273,battery/Alarms/LowTemperature,com.victronenergy.battery-Low temperature alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,274,battery/Alarms/HighTemperature,com.victronenergy.battery-High temperature alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,275,battery/Alarms/MidVoltage,com.victronenergy.battery-Mid-voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,276,battery/Alarms/LowFusedVoltage,com.victronenergy.battery-Low fused-voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,2014-12-13: Deprecated because over-engineered. Value is always 0.
,uint16,277,battery/Alarms/HighFusedVoltage,com.victronenergy.battery-High fused-voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,2014-12-13: Deprecated because over-engineered. Value is always 0.
,uint16,278,battery/Alarms/FuseBlown,com.victronenergy.battery-Fuse blown alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,279,battery/Alarms/HighInternalTemperature,com.victronenergy.battery-High internal-temperature alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,280,battery/Relay/0/State,com.victronenergy.battery-Relay status,yes,"{""0"": ""Open"", ""1"": ""Closed""}",,Not supported by CAN.Bus BMS batteries.
,uint16,281,battery/History/DeepestDischarge,com.victronenergy.battery-Deepest discharge,no,0 to -6553.6,-10Ah,Not supported by CAN.Bus BMS batteries.
,uint16,282,battery/History/LastDischarge,com.victronenergy.battery-Last discharge,no,0 to -6553.6,-10Ah,Not supported by CAN.Bus BMS batteries.
,uint16,283,battery/History/AverageDischarge,com.victronenergy.battery-Average discharge,no,0 to -6553.6,-10Ah,Not supported by CAN.Bus BMS batteries.
,uint16,284,battery/History/ChargeCycles,com.victronenergy.battery-Charge cycles,no,0 to 65535,1count,Not supported by CAN.Bus BMS batteries.
,uint16,285,battery/History/FullDischarges,com.victronenergy.battery-Full discharges,no,0 to 65535,1count,Not supported by CAN.Bus BMS batteries.
,uint16,286,battery/History/TotalAhDrawn,com.victronenergy.battery-Total Ah drawn,no,0 to -6553.6,-10Ah,Not supported by CAN.Bus BMS batteries.
,uint16,287,battery/History/MinimumVoltage,com.victronenergy.battery-Minimum voltage,no,0 to 655.35,100V DC,Not supported by CAN.Bus BMS batteries.
,uint16,288,battery/History/MaximumVoltage,com.victronenergy.battery-Maximum voltage,no,0 to 655.35,100V DC,Not supported by CAN.Bus BMS batteries.
,uint16,289,battery/History/TimeSinceLastFullCharge,com.victronenergy.battery-Time since last full charge,no,0 to 6553500,0.01seconds,Not supported by CAN.Bus BMS batteries.
,uint16,290,battery/History/AutomaticSyncs,com.victronenergy.battery-Automatic syncs,no,0 to 65535,1count,Not supported by CAN.Bus BMS batteries.
,uint16,291,battery/History/LowVoltageAlarms,com.victronenergy.battery-Low voltage alarms,no,0 to 65535,1count,Not supported by CAN.Bus BMS batteries.
,uint16,292,battery/History/HighVoltageAlarms,com.victronenergy.battery-High voltage alarms,no,0 to 65535,1count,Not supported by CAN.Bus BMS batteries.
,uint16,293,battery/History/LowStarterVoltageAlarms,com.victronenergy.battery-Low starter voltage alarms,no,0 to 65535,1count,Not supported by CAN.Bus BMS batteries.
,uint16,294,battery/History/HighStarterVoltageAlarms,com.victronenergy.battery-High starter voltage alarms,no,0 to 65535,1count,Not supported by CAN.Bus BMS batteries.
,uint16,295,battery/History/MinimumStarterVoltage,com.victronenergy.battery-Minimum starter voltage,no,0 to 655.35,100V DC,Not supported by CAN.Bus BMS batteries.
,uint16,296,battery/History/MaximumStarterVoltage,com.victronenergy.battery-Maximum starter voltage,no,0 to 655.35,100V DC,Not supported by CAN.Bus BMS batteries.
,uint16,297,battery/History/LowFusedVoltageAlarms,com.victronenergy.battery-Low fused-voltage alarms,no,0 to 65535,1count,2014-12-13: Deprecated because over-engineered. Value is always 0.
,uint16,298,battery/History/HighFusedVoltageAlarms,com.victronenergy.battery-High fused-voltage alarms,no,0 to 65535,1count,2014-12-13: Deprecated because over-engineered. Value is always 0.
,uint16,299,battery/History/MinimumFusedVoltage,com.victronenergy.battery-Minimum fused voltage,no,0 to 655.35,100V DC,2014-12-13: Deprecated because over-engineered. Value is always 0.
,uint16,300,battery/History/MaximumFusedVoltage,com.victronenergy.battery-Maximum fused voltage,no,0 to 655.35,100V DC,2014-12-13: Deprecated because over-engineered. Value is always 0.
,uint16,301,battery/History/DischargedEnergy,com.victronenergy.battery-Discharged Energy,no,0 to 6553.5,10kWh,Not supported by CAN.Bus BMS batteries.
,uint16,302,battery/History/ChargedEnergy,com.victronenergy.battery-Charged Energy,no,0 to 6553.5,10kWh,Not supported by CAN.Bus BMS batteries.
,uint16,303,battery/TimeToGo,com.victronenergy.battery-Time to go,no,0 to 6553500,0.01seconds,Special value: 0 = charging. Not supported by CAN.Bus BMS batteries.
,uint16,304,battery/Soh,com.victronenergy.battery-State of health,no,0 to 6553.5,10%,Not supported by Victron products. Supported by CAN.Bus batteries.
,uint16,305,battery/Info/MaxChargeVoltage,com.victronenergy.battery-Max charge voltage,no,0 to 6553.5,10V DC,Not supported by Victron products. Supported by CAN.Bus batteries.
,uint16,306,battery/Info/BatteryLowVoltage,com.victronenergy.battery-Min discharge voltage,no,0 to 6553.5,10V DC,Not supported by Victron products. Supported by CAN.Bus batteries.
,uint16,307,battery/Info/MaxChargeCurrent,com.victronenergy.battery-Max charge current,no,0 to 6553.5,10A DC,Not supported by Victron products. Supported by CAN.Bus batteries.
,uint16,308,battery/Info/MaxDischargeCurrent,com.victronenergy.battery-Max discharge current,no,0 to 6553.5,10A DC,Not supported by Victron products. Supported by CAN.Bus batteries.
,uint16,309,battery/Capacity,com.victronenergy.battery-Capacity,no,0 to 6553.5,10Ah,
,int32,310,battery/Diagnostics/LastErrors/1/Time,com.victronenergy.battery-Diagnostics; 1st last error timestamp,no,-2147483648 to 2147483648,1,
,int32,312,battery/Diagnostics/LastErrors/2/Time,com.victronenergy.battery-Diagnostics; 2nd last error timestamp,no,-2147483648 to 2147483648,1,
,int32,314,battery/Diagnostics/LastErrors/3/Time,com.victronenergy.battery-Diagnostics; 3rd last error timestamp,no,-2147483648 to 2147483648,1,
,int32,316,battery/Diagnostics/LastErrors/4/Time,com.victronenergy.battery-Diagnostics; 4th last error timestamp,no,-2147483648 to 2147483648,1,
,int16,318,battery/System/MinCellTemperature,com.victronenergy.battery-Minimum cell temperature,no,-3276.8 to 3276.7,10Degrees celsius,
,int16,319,battery/System/MaxCellTemperature,com.victronenergy.battery-Maximum cell temperature,no,-3276.8 to 3276.7,10Degrees celsius,
,uint16,320,battery/Alarms/HighChargeCurrent,com.victronenergy.battery-High charge current alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,321,battery/Alarms/HighDischargeCurrent,com.victronenergy.battery-High discharge current alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,322,battery/Alarms/CellImbalance,com.victronenergy.battery-Cell imbalance alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,323,battery/Alarms/InternalFailure,com.victronenergy.battery-Internal failure alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,324,battery/Alarms/HighChargeTemperature,com.victronenergy.battery-High charge temperature alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,325,battery/Alarms/LowChargeTemperature,com.victronenergy.battery-Low charge temperature alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,326,battery/Alarms/LowCellVoltage,com.victronenergy.battery-Low cell voltage alarm,no,"{""0"": ""No alarm"", ""1"": ""Almost discharged"", ""2"": ""Alarm""}",,
,uint16,327,battery/Mode,com.victronenergy.battery-Mode,yes,"{""0"": ""Open"", ""14"": ""Standby""}",,
,uint16,771,solarcharger/Dc/0/Voltage,com.victronenergy.solarcharger-Battery voltage,no,0 to 655.35,100V DC,
,int16,772,solarcharger/Dc/0/Current,com.victronenergy.solarcharger-Battery current,no,-3276.8 to 3276.7,10A DC,
,int16,773,solarcharger/Dc/0/Temperature,com.victronenergy.solarcharger-Battery temperature,no,-3276.8 to 3276.7,10Degrees celsius,VE.Can MPPTs only
,uint16,774,solarcharger/Mode,com.victronenergy.solarcharger-Charger on/off,yes,"{""1"": ""On"", ""4"": ""Off""}",,VE.Can MPPTs only
,uint16,775,solarcharger/State,com.victronenergy.solarcharger-Charge state,no,"{""0"": ""Off"", ""2"": ""Fault"", ""3"": ""Bulk"", ""4"": ""Absorption"", ""5"": ""Float"", ""6"": ""Storage"", ""7"": ""Equalize"", ""11"": ""Other (Hub-1)"", ""252"": ""External control""}",,
,uint16,776,solarcharger/Pv/V,com.victronenergy.solarcharger-PV voltage,no,0 to 655.35,100V DC,Not available if multiple VE.Can chargers are combined
,int16,777,solarcharger,com.victronenergy.solarcharger-PV current,no,-3276.8 to 3276.7,10A DC,Calculated from /Yield/Power and /Pv/V
,uint16,778,solarcharger/Equalization/Pending,com.victronenergy.solarcharger-Equalization pending,no,"{""0"": ""No"", ""1"": ""Yes"", ""2"": ""Error"", ""3"": ""Unavailable- Unknown""}",,
,uint16,779,solarcharger/Equalization/TimeRemaining,com.victronenergy.solarcharger-Equalization time remaining,no,0 to 6553.5,10seconds,
,uint16,780,solarcharger/Relay/0/State,com.victronenergy.solarcharger-Relay on the charger,no,"{""0"": ""Open"", ""1"": ""Closed""}",,
,uint16,781,solarcharger/Alarms/Alarm,com.victronenergy.solarcharger-,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,Deprecated. Value is always 0
,uint16,782,solarcharger/Alarms/LowVoltage,com.victronenergy.solarcharger-Low batt. voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,783,solarcharger/Alarms/HighVoltage,com.victronenergy.solarcharger-High batt. voltage alarm,no,"{""0"": ""No alarm"", ""2"": ""Alarm""}",,
,uint16,784,solarcharger/History/Daily/0/Yield,com.victronenergy.solarcharger-Yield today,no,0 to 6553.5,10kWh,Today's yield
,uint16,785,solarcharger/History/Daily/0/MaxPower,com.victronenergy.solarcharger-Maximum charge power today,no,0 to 65535,1W,Today's maximum power
,uint16,786,solarcharger/History/Daily/1/Yield,com.victronenergy.solarcharger-Yield yesterday,no,0 to 6553.5,10kWh,Yesterday's yield
,uint16,787,solarcharger/History/Daily/1/MaxPower,com.victronenergy.solarcharger-Maximum charge power yesterday,no,0 to 65535,1W,Yesterday's maximum power
,uint16,788,solarcharger/ErrorCode,com.victronenergy.solarcharger-Error code,no,"{""0"": ""No error"", ""1"": ""Battery temperature too high"", ""2"": ""Battery voltage too high"", ""3"": ""Battery temperature sensor miswired (+)"", ""4"": ""Battery temperature sensor miswired (-)"", ""5"": ""Battery temperature sensor disconnected"", ""6"": ""Battery voltage sense miswired (+)"", ""7"": ""Battery voltage sense miswired (-)"", ""8"": ""Battery voltage sense disconnected"", ""9"": ""Battery voltage wire losses too high"", ""17"": ""Charger temperature too high"", ""18"": ""Charger over-current"", ""19"": ""Charger current polarity reversed"", ""20"": ""Bulk time limit reached"", ""22"": ""Charger temperature sensor miswired"", ""23"": ""Charger temperature sensor disconnected"", ""34"": ""Input current too high""}",,
,uint16,789,solarcharger/Yield/Power,com.victronenergy.solarcharger-PV power,no,0 to 6553.5,10W,
,uint16,790,solarcharger/Yield/User,com.victronenergy.solarcharger-User yield,no,0 to 6553.5,10kWh,Energy generated by the solarcharger since last user reset
,uint16,791,solarcharger/MppOperationMode,com.victronenergy.solarcharger-MPP operation mode,no,"{""0"": ""Off"", ""1"": ""Voltage/current limited"", ""2"": ""MPPT active"", ""255"": ""Not available""}",,
,uint16,3700,solarcharger/Pv/0/V,com.victronenergy.solarcharger-PV voltage for tracker 0,no,0 to 655.35,100V DC,
,uint16,3701,solarcharger/Pv/1/V,com.victronenergy.solarcharger-PV voltage for tracker 1,no,0 to 655.35,100V DC,
,uint16,3702,solarcharger/Pv/2/V,com.victronenergy.solarcharger-PV voltage for tracker 2,no,0 to 655.35,100V DC,
,uint16,3703,solarcharger/Pv/3/V,com.victronenergy.solarcharger-PV voltage for tracker 3,no,0 to 655.35,100V DC,
,uint16,3704,solarcharger,com.victronenergy.solarcharger-RESERVED,no,0 to 65535,1,
,uint16,3705,solarcharger,com.victronenergy.solarcharger-RESERVED,no,0 to 65535,1,
,uint16,3706,solarcharger,com.victronenergy.solarcharger-RESERVED,no,0 to 65535,1,
,uint16,3707,solarcharger,com.victronenergy.solarcharger-RESERVED,no,0 to 65535,1,
,uint16,3708,solarcharger/History/Daily/0/Pv/0/Yield,com.victronenergy.solarcharger-Yield today for tracker 0,no,0 to 6553.5,10kWh,
,uint16,3709,solarcharger/History/Daily/0/Pv/1/Yield,com.victronenergy.solarcharger-Yield today for tracker 1,no,0 to 6553.5,10kWh,
,uint16,3710,solarcharger/History/Daily/0/Pv/2/Yield,com.victronenergy.solarcharger-Yield today for tracker 2,no,0 to 6553.5,10kWh,
,uint16,3711,solarcharger/History/Daily/0/Pv/3/Yield,com.victronenergy.solarcharger-Yield today for tracker 3,no,0 to 6553.5,10kWh,
,uint16,3712,solarcharger/History/Daily/1/Pv/0/Yield,com.victronenergy.solarcharger-Yield yesterday for tracker 0,no,0 to 6553.5,10kWh,
,uint16,3713,solarcharger/History/Daily/1/Pv/1/Yield,com.victronenergy.solarcharger-Yield yesterday for tracker 1,no,0 to 6553.5,10kWh,
,uint16,3714,solarcharger/History/Daily/1/Pv/2/Yield,com.victronenergy.solarcharger-Yield yesterday for tracker 2,no,0 to 6553.5,10kWh,
,uint16,3715,solarcharger/History/Daily/1/Pv/3/Yield,com.victronenergy.solarcharger-Yield yesterday for tracker 3,no,0 to 6553.5,10kWh,
,uint16,3716,solarcharger/History/Daily/0/Pv/0/MaxPower,com.victronenergy.solarcharger-Maximum charge power today for tracker 0,no,0 to 65535,1W,
,uint16,3717,solarcharger/History/Daily/0/Pv/1/MaxPower,com.victronenergy.solarcharger-Maximum charge power today for tracker 1,no,0 to 65535,1W,
,uint16,3718,solarcharger/History/Daily/0/Pv/2/MaxPower,com.victronenergy.solarcharger-Maximum charge power today for tracker 2,no,0 to 65535,1W,
,uint16,3719,solarcharger/History/Daily/0/Pv/3/MaxPower,com.victronenergy.solarcharger-Maximum charge power today for tracker 3,no,0 to 65535,1W,
,uint16,3720,solarcharger/History/Daily/1/Pv/0/MaxPower,com.victronenergy.solarcharger-Maximum charge power yesterday tracker 0,no,0 to 65535,1W,
,uint16,3721,solarcharger/History/Daily/1/Pv/1/MaxPower,com.victronenergy.solarcharger-Maximum charge power yesterday tracker 1,no,0 to 65535,1W,
,uint16,3722,solarcharger/History/Daily/1/Pv/2/MaxPower,com.victronenergy.solarcharger-Maximum charge power yesterday tracker 2,no,0 to 65535,1W,
,uint16,3723,solarcharger/History/Daily/1/Pv/3/MaxPower,com.victronenergy.solarcharger-Maximum charge power yesterday tracker 3,no,0 to 65535,1W,
,uint16,3724,solarcharger/Pv/0/P,com.victronenergy.solarcharger-PV power for tracker 0,no,0 to 65535,1W,
,uint16,3725,solarcharger/Pv/1/P,com.victronenergy.solarcharger-PV power for tracker 1,no,0 to 65535,1W,
,uint16,3726,solarcharger/Pv/2/P,com.victronenergy.solarcharger-PV power for tracker 2,no,0 to 65535,1W,
,uint16,3727,solarcharger/Pv/3/P,com.victronenergy.solarcharger-PV power for tracker 3,no,0 to 65535,1W,
,uint32,3728,solarcharger/Yield/User,com.victronenergy.solarcharger-User yield,no,0 to 4294967295,1kWh,Energy generated by the solarcharger since last user reset
,uint16,3730,solarcharger/Yield/Power,com.victronenergy.solarcharger-PV power,no,0 to 65535,1W,
,uint16,3731,solarcharger/Pv/0/MppOperationMode,com.victronenergy.solarcharger-MPP operation mode tracker 1,no,"{""0"": ""Off"", ""1"": ""Voltage/current limited"", ""2"": ""MPPT active"", ""255"": ""Not available""}",,
,uint16,3732,solarcharger/Pv/1/MppOperationMode,com.victronenergy.solarcharger-MPP operation mode tracker 2,no,"{""0"": ""Off"", ""1"": ""Voltage/current limited"", ""2"": ""MPPT active"", ""255"": ""Not available""}",,
,uint16,3733,solarcharger/Pv/2/MppOperationMode,com.victronenergy.solarcharger-MPP operation mode tracker 3,no,"{""0"": ""Off"", ""1"": ""Voltage/current limited"", ""2"": ""MPPT active"", ""255"": ""Not available""}",,
,uint16,3734,solarcharger/Pv/3/MppOperationMode,com.victronenergy.solarcharger-MPP operation mode tracker 4,no,"{""0"": ""Off"", ""1"": ""Voltage/current limited"", ""2"": ""MPPT active"", ""255"": ""Not available""}",,
,uint16,1026,pvinverter/Position,com.victronenergy.pvinverter-Position,no,"{""0"": ""AC input 1"", ""1"": ""AC output"", ""2"": ""AC input 2""}",,
,uint16,1027,pvinverter/Ac/L1/Voltage,com.victronenergy.pvinverter-L1 Voltage,no,0 to 6553.5,10V AC,
,int16,1028,pvinverter/Ac/L1/Current,com.victronenergy.pvinverter-L1 Current,no,-3276.8 to 3276.7,10A AC,
,uint16,1029,pvinverter/Ac/L1/Power,com.victronenergy.pvinverter-L1 Power,no,0 to 65535,1W,
,uint16,1030,pvinverter/Ac/L1/Energy/Forward,com.victronenergy.pvinverter-L1 Energy,no,0 to 655.35,100kWh,Deprecated. Use 1046 instead.
,uint16,1031,pvinverter/Ac/L2/Voltage,com.victronenergy.pvinverter-L2 Voltage,no,0 to 6553.5,10V AC,
,int16,1032,pvinverter/Ac/L2/Current,com.victronenergy.pvinverter-L2 Current,no,-3276.8 to 3276.7,10A AC,
,uint16,1033,pvinverter/Ac/L2/Power,com.victronenergy.pvinverter-L2 Power,no,0 to 65535,1W,
,uint16,1034,pvinverter/Ac/L2/Energy/Forward,com.victronenergy.pvinverter-L2 Energy,no,0 to 655.35,100kWh,Deprecated. Use 1048 instead.
,uint16,1035,pvinverter/Ac/L3/Voltage,com.victronenergy.pvinverter-L3 Voltage,no,0 to 6553.5,10V AC,
,int16,1036,pvinverter/Ac/L3/Current,com.victronenergy.pvinverter-L3 Current,no,-3276.8 to 3276.7,10A AC,
,uint16,1037,pvinverter/Ac/L3/Power,com.victronenergy.pvinverter-L3 Power,no,0 to 65535,1W,
,uint16,1038,pvinverter/Ac/L3/Energy/Forward,com.victronenergy.pvinverter-L3 Energy,no,0 to 655.35,100kWh,Deprecated. Use 1050 instead.
,ascii.7,1039,pvinverter/Serial,com.victronenergy.pvinverter-Serial,no,,1,"The system serial as string (MSB of first register: first character, LSB of last register: last character)."
,uint32,1046,pvinverter/Ac/L1/Energy/Forward,com.victronenergy.pvinverter-L1 Energy,no,0 to 42949672.96,100kWh,
,uint32,1048,pvinverter/Ac/L2/Energy/Forward,com.victronenergy.pvinverter-L2 Energy,no,0 to 42949672.96,100kWh,
,uint32,1050,pvinverter/Ac/L3/Energy/Forward,com.victronenergy.pvinverter-L3 Energy,no,0 to 42949672.96,100kWh,
,int32,1052,pvinverter/Ac/Power,com.victronenergy.pvinverter-Total Power,no,- 2147483648 to 2147483647,1W,
,uint32,1054,pvinverter/Ac/MaxPower,com.victronenergy.pvinverter-Maximum Power Capacity,no,0 to 4294967295,1W,
,uint32,1056,pvinverter/Ac/PowerLimit,com.victronenergy.pvinverter-Power limit,yes,0 to 4294967295,1W,For use in ESS mode 3
,uint32,1058,pvinverter/Ac/L1/Power,com.victronenergy.pvinverter-L1 Power,no,0 to 4294967295,1W,
,uint32,1060,pvinverter/Ac/L2/Power,com.victronenergy.pvinverter-L2 Power,no,0 to 4294967295,1W,
,uint32,1062,pvinverter/Ac/L3/Power,com.victronenergy.pvinverter-L3 Power,no,0 to 4294967295,1W,
,uint16,1282,battery/State,com.victronenergy.battery-State,no,"{""0"": ""Initializing (Wait start)"", ""1"": ""Initializing (before boot)"", ""2"": ""Initializing (Before boot delay)"", ""3"": ""Initializing (Wait boot)"", ""4"": ""Initializing"", ""5"": ""Initializing (Measure battery voltage)"", ""6"": ""Initializing (Calculate battery voltage)"", ""7"": ""Initializing (Wait bus voltage)"", ""8"": ""Initializing (Wait for lynx shunt)"", ""9"": ""Running"", ""10"": ""Error (10)"", ""11"": ""Unused (11)"", ""12"": ""Shutdown"", ""13"": ""Slave updating"", ""14"": ""Standby"", ""15"": ""Going to run"", ""16"": ""Pre-charging"", ""17"": ""Contactor check""}",,
,uint16,1283,battery/ErrorCode,com.victronenergy.battery-Error,no,"{""0"": ""No error"", ""1"": ""Battery initialization error"", ""2"": ""No batteries connected"", ""3"": ""Unknown battery connected"", ""4"": ""Different battery type"", ""5"": ""Number of batteries incorrect"", ""6"": ""Lynx Shunt not found"", ""7"": ""Battery measure error"", ""8"": ""Internal calculation error"", ""9"": ""Batteries in series not ok"", ""10"": ""Number of batteries incorrect"", ""11"": ""Hardware error"", ""12"": ""Watchdog error"", ""13"": ""Over voltage"", ""14"": ""Under voltage"", ""15"": ""Over temperature"", ""16"": ""Under temperature"", ""17"": ""Hardware fault"", ""18"": ""Standby shutdown"", ""19"": ""Pre-charge charge error"", ""20"": ""Safety contactor check error"", ""21"": ""Pre-charge discharge error"", ""22"": ""ADC error"", ""23"": ""Slave error"", ""24"": ""Slave warning"", ""25"": ""Pre-charge error"", ""26"": ""Safety contactor error"", ""27"": ""Over current"", ""28"": ""Slave update failed"", ""29"": ""Slave update unavailable"", ""30"": ""Calibration data lost"", ""31"": ""Settings invalid"", ""32"": ""BMS cable"", ""33"": ""Reference failure"", ""34"": ""Wrong system voltage"", ""35"": ""Pre-charge timeout""}",,
,uint16,1284,battery/SystemSwitch,com.victronenergy.battery-System-switch,no,"{""0"": ""Disabled"", ""1"": ""Enabled""}",,
,uint16,1285,battery/Balancing,com.victronenergy.battery-Balancing,no,"{""0"": ""Inactive"", ""1"": ""Active""}",,
,uint16,1286,battery/System/NrOfBatteries,com.victronenergy.battery-System; number of batteries,no,0 to 65535,1count,
,uint16,1287,battery/System/BatteriesParallel,com.victronenergy.battery-System; batteries parallel,no,0 to 65535,1count,
,uint16,1288,battery/System/BatteriesSeries,com.victronenergy.battery-System; batteries series,no,0 to 65535,1count,
,uint16,1289,battery/System/NrOfCellsPerBattery,com.victronenergy.battery-System; number of cells per battery,no,0 to 65535,1count,
,uint16,1290,battery/System/MinCellVoltage,com.victronenergy.battery-System; minimum cell voltage,no,0 to 655.35,100V DC,
,uint16,1291,battery/System/MaxCellVoltage,com.victronenergy.battery-System; maximum cell voltage,no,0 to 655.35,100V DC,
,uint16,1292,battery/Diagnostics/ShutDownsDueError,com.victronenergy.battery-Diagnostics; shutdowns due to error,no,0 to 65535,1count,
,uint16,1293,battery/Diagnostics/LastErrors/1/Error,com.victronenergy.battery-Diagnostics; 1st last error,no,"{""0"": ""No error"", ""1"": ""Battery initialization error"", ""2"": ""No batteries connected"", ""3"": ""Unknown battery connected"", ""4"": ""Different battery type"", ""5"": ""Number of batteries incorrect"", ""6"": ""Lynx Shunt not found"", ""7"": ""Battery measure error"", ""8"": ""Internal calculation error"", ""9"": ""Batteries in series not ok"", ""10"": ""Number of batteries incorrect"", ""11"": ""Hardware error"", ""12"": ""Watchdog error"", ""13"": ""Over voltage"", ""14"": ""Under voltage"", ""15"": ""Over temperature"", ""16"": ""Under temperature"", ""17"": ""Hardware fault"", ""18"": ""Standby shutdown"", ""19"": ""Pre-charge charge error"", ""20"": ""Safety contactor check error"", ""21"": ""Pre-charge discharge error"", ""22"": ""ADC error"", ""23"": ""Slave error"", ""24"": ""Slave warning"", ""25"": ""Pre-charge error"", ""26"": ""Safety contactor error"", ""27"": ""Over current"", ""28"": ""Slave update failed"", ""29"": ""Slave update unavailable"", ""30"": ""Calibration data lost"", ""31"": ""Settings invalid"", ""32"": ""BMS cable"", ""33"": ""Reference failure"", ""34"": ""Wrong system voltage"", ""35"": ""Pre-charge timeout""}",,
